Project Name,Package Name,Type Name,Method Name,Code Smell
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testNoMovementOfPieceForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testNoMovementOfPieceForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testIsValidMoveOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testIsValidMoveOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfPawnForFirstPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testNotAllowsSecondPlayerWhenNotInTurn,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testIsValidMoveOfKnightForSecondPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testIsValidMoveOfKnightForSecondPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testIsValidMoveOfKnightForSecondPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfKnightForSecondPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovementOfKnightForSecondPlayer,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveOfPawn,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveOfPawn,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveWhenPieceInBetween,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveWhenPieceInBetween,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveWhenPieceInBetween,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testInvalidMoveWhenPieceInBetween,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovePieceToNonEmptyPlace,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovePieceToNonEmptyPlace,Magic Number
ITCS431-codesmell-project,com.directi.trainining.codesmells,ChessGameTest,testMovePieceToNonEmptyPlace,Magic Number
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Knight,isValidMove,Magic Number
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Knight,isValidMove,Magic Number
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Pawn,isValidMove,Magic Number
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Pawn,isForwardMove,Missing default
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Pawn,isValidMoveGivenContext,Long Parameter List
ITCS431-codesmell-project,com.directi.training.codesmells.refactored.pieces,Pawn,isValidMoveGivenContext,Long Statement
